id,format,pack,uom,count,revenue_m,links
D02,TABLETS WITH SOLUBLE FILM,42,CT,1,31.6,3
D05,TABLETS WITH SOLUBLE FILM,51,CT,1,23.3,2
D09,TABLETS WITH SOLUBLE FILM,59,CT,1,18.3,3
D03,TABLETS WITH SOLUBLE FILM,25,CT,1,16.4,4
D14,TABLETS WITH SOLUBLE FILM,74,CT,1,15.5,5
D37,TABLETS WITH SOLUBLE FILM,100,CT,1,15.4,2
D10,TABLETS WITH SOLUBLE FILM,42,CT,1,14.8,3
D15,TABLETS WITH SOLUBLE FILM,70,CT,1,13.0,3
D19,TABLETS WITH SOLUBLE FILM,72,CT,1,13.0,1
D08,TABLETS WITH SOLUBLE FILM,32,CT,1,12.8,5
D07,TABLETS WITH SOLUBLE FILM,29,CT,1,12.3,4
D04,TABLETS WITH SOLUBLE FILM,40,CT,1,12.1,1
D22,TABLETS WITH SOLUBLE FILM,55,CT,1,12.0,1
D16,TABLETS WITH SOLUBLE FILM,55,CT,1,11.9,1
D35,TABLETS,110,CT,1,11.7,5
D18,TABLETS WITH SOLUBLE FILM,64,CT,1,11.4,3
D17,TABLETS WITH SOLUBLE FILM,60,CT,1,10.6,2
D24,TABLETS WITH SOLUBLE FILM,51,CT,1,10.2,2
D12,TABLETS,60,CT,1,9.4,1
D38,TABLETS WITH SOLUBLE FILM,62,CT,1,9.2,1
D27,TABLETS WITH SOLUBLE FILM,52,CT,1,8.8,2
D13,TABLETS WITH SOLUBLE FILM,21,CT,1,8.3,5
D40,TABLETS WITH SOLUBLE FILM,61,CT,1,7.9,1
D06,TABLETS,30,CT,1,7.5,3
D32,TABLETS WITH SOLUBLE FILM,38,CT,1,6.1,1
D23,TABLETS,25,CT,1,5.8,1
D34,TABLETS WITH SOLUBLE FILM,24,CT,1,5.1,6
D29,TABLETS,40,CT,1,5.1,2
D25,TABLETS WITH SOLUBLE FILM,21,CT,1,5.0,1
D21,TABLETS,40,CT,1,4.5,10
D11,TABLETS,30,CT,1,4.5,1
D39,TABLETS,30,CT,1,3.3,2
D36,TABLETS WITH SOLUBLE FILM,30,CT,1,3.1,3
