rgm_ppg,subcategory_nm,format,brand_nm,uom,pack_size,pack_count,total_revenue,group,group_name,price_tier,shelf_presence,bumpiness,price_moves,growth,seasonality,shelf_trend,promo_activity,promo_share,promo_lift
PPG_ATTR1_060EEA37 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_026710C4 | PPG_ATTR4_AE186179 | PPG_ATTR5_EB6411FA | PPG_ATTR6_92B72C5A | PPG_ATTR7_164D04A0 | PPG_ATTR8_815FCC11 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_026710C4,CT,30,1,204759.35,1,Steady core,0.2743,7.294,0.1271,0.3786,-0.009,0.036,0.0715,3.606,0.5488,-0.5016
PPG_ATTR1_4CE7686A | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_16B57C4F | PPG_ATTR4_AE186179 | PPG_ATTR5_16B57C4F | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_8FD1F319 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_16B57C4F,CT,26,1,58780.86,1,Steady core,0.1215,1.0484,0.0393,0.5794,-0.0024,0.19,0.01,0.2422,0.32,-0.1721
PPG_ATTR1_4CE7686A | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_16B57C4F | PPG_ATTR4_AE186179 | PPG_ATTR5_EBBB8723 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_7FE34FAD | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,DETERGENT,TABLETS,HASH_16B57C4F,CT,70,1,303899.81,1,Steady core,0.1771,1.7612,0.0648,0.4736,-0.0043,0.3085,0.0093,0.5424,0.3457,-0.072
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_4FD27A4E | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_5918E248 | PPG_ATTR7_A87D5006 | PPG_ATTR8_83F5974E | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,CLEANER,LIQUID,HASH_7FC8EF04,ML,250,1,14962027.2234,1,Steady core,0.9091,70.5565,0.7931,0.1571,0.0013,0.4375,0.0121,3.4992,0.0671,-0.0223
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_5C2AE06E | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_7410C119 | PPG_ATTR7_164D04A0 | PPG_ATTR8_E7C18669 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,FRESHENER,GEL,HASH_7FC8EF04,ML,6,1,1390406.3867,1,Steady core,0.6667,52.8714,0.2543,0.2586,0.0004,0.4051,0.0891,2.8143,0.0638,0.1689
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_5C2AE06E | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_7410C119 | PPG_ATTR7_42E7BE8A | PPG_ATTR8_D2D8BAC9 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,FRESHENER,GEL,HASH_7FC8EF04,ML,5,1,47178.67,2,Shrinking shelf,0.5,57.974,0.3226,0.5127,0.0387,0.557,-3.5239,15.7627,0.2443,0.0849
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_8C4F4370 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_BF03469B | PPG_ATTR7_A87D5006 | PPG_ATTR8_500D2BD3 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,SALT,GRAN,HASH_7FC8EF04,GM,2000,1,2112317.4663,1,Steady core,0.25,49.5161,0.7694,0.5762,-0.0172,0.3517,0.545,3.2484,0.0601,0.1045
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_8C4F4370 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_BF03469B | PPG_ATTR7_A87D5006 | PPG_ATTR8_8F4004C8 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,SALT,GRAN,HASH_7FC8EF04,GM,3000,1,17757003.131,1,Steady core,0.5,75.5124,0.3761,0.2849,-0.0046,0.2828,0.1189,3.9625,0.0529,0.0846
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_8C4F4370 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_BF03469B | PPG_ATTR7_A87D5006 | PPG_ATTR8_BCE14A93 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,SALT,GRAN,HASH_7FC8EF04,GM,1000,1,9711832.5787,1,Steady core,0.75,59.2842,0.7241,0.126,0.0024,0.364,0.1066,3.1622,0.0476,-0.0959
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_A20E9B75 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_5918E248 | PPG_ATTR7_164D04A0 | PPG_ATTR8_12E2FBC2 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,RINSE AID,LIQUID,HASH_7FC8EF04,ML,400,1,25813487.0931,1,Steady core,0.9048,60.4479,0.6531,0.0928,-0.0017,0.4828,0.091,4.7546,0.0771,-0.0074
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_A20E9B75 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_5918E248 | PPG_ATTR7_164D04A0 | PPG_ATTR8_E8FEB8CF | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,RINSE AID,LIQUID,HASH_7FC8EF04,ML,500,1,1793616.69,1,Steady core,0.7143,80.5584,0.3113,0.329,-0.0046,0.2666,0.1937,0.3813,0.005,0.0042
